algorithm,pattern_length,inspections
Weak Boyer Moore,2,385572
Weak Memorizing Boyer Moore,2,385572
Weak Turbo Boyer Moore,2,385572
Weak Boyer Moore,2,384319
Weak Memorizing Boyer Moore,2,384319
Weak Turbo Boyer Moore,2,384319
Weak Boyer Moore,2,385009
Weak Memorizing Boyer Moore,2,385009
Weak Turbo Boyer Moore,2,385009
Weak Boyer Moore,2,384549
Weak Memorizing Boyer Moore,2,384549
Weak Turbo Boyer Moore,2,384549
Weak Boyer Moore,2,384574
Weak Memorizing Boyer Moore,2,384574
Weak Turbo Boyer Moore,2,384574
Weak Boyer Moore,2,384346
Weak Memorizing Boyer Moore,2,384346
Weak Turbo Boyer Moore,2,384346
Weak Boyer Moore,2,384830
Weak Memorizing Boyer Moore,2,384830
Weak Turbo Boyer Moore,2,384830
Weak Boyer Moore,2,385474
Weak Memorizing Boyer Moore,2,385474
Weak Turbo Boyer Moore,2,385474
Weak Boyer Moore,2,384857
Weak Memorizing Boyer Moore,2,384857
Weak Turbo Boyer Moore,2,384857
Weak Boyer Moore,2,211314
Weak Memorizing Boyer Moore,2,203612
Weak Turbo Boyer Moore,2,203612
Weak Boyer Moore,2,385879
Weak Memorizing Boyer Moore,2,385879
Weak Turbo Boyer Moore,2,385879
Weak Boyer Moore,2,384257
Weak Memorizing Boyer Moore,2,384257
Weak Turbo Boyer Moore,2,384257
Weak Boyer Moore,2,385966
Weak Memorizing Boyer Moore,2,385966
Weak Turbo Boyer Moore,2,385966
Weak Boyer Moore,2,385716
Weak Memorizing Boyer Moore,2,385716
Weak Turbo Boyer Moore,2,385716
Weak Boyer Moore,2,384427
Weak Memorizing Boyer Moore,2,384427
Weak Turbo Boyer Moore,2,384427
Weak Boyer Moore,2,385481
Weak Memorizing Boyer Moore,2,385481
Weak Turbo Boyer Moore,2,385481
Weak Boyer Moore,2,384685
Weak Memorizing Boyer Moore,2,384685
Weak Turbo Boyer Moore,2,384685
Weak Boyer Moore,2,384964
Weak Memorizing Boyer Moore,2,384964
Weak Turbo Boyer Moore,2,384964
Weak Boyer Moore,2,386479
Weak Memorizing Boyer Moore,2,386479
Weak Turbo Boyer Moore,2,386479
Weak Boyer Moore,2,385748
Weak Memorizing Boyer Moore,2,385748
Weak Turbo Boyer Moore,2,385748
Weak Boyer Moore,2,384594
Weak Memorizing Boyer Moore,2,384594
Weak Turbo Boyer Moore,2,384594
Weak Boyer Moore,2,385894
Weak Memorizing Boyer Moore,2,385894
Weak Turbo Boyer Moore,2,385894
Weak Boyer Moore,2,210333
Weak Memorizing Boyer Moore,2,202767
Weak Turbo Boyer Moore,2,202767
Weak Boyer Moore,2,384480
Weak Memorizing Boyer Moore,2,384480
Weak Turbo Boyer Moore,2,384480
Weak Boyer Moore,2,384392
Weak Memorizing Boyer Moore,2,384392
Weak Turbo Boyer Moore,2,384392
Weak Boyer Moore,2,386038
Weak Memorizing Boyer Moore,2,386038
Weak Turbo Boyer Moore,2,386038
Weak Boyer Moore,2,385029
Weak Memorizing Boyer Moore,2,385029
Weak Turbo Boyer Moore,2,385029
Weak Boyer Moore,2,384825
Weak Memorizing Boyer Moore,2,384825
Weak Turbo Boyer Moore,2,384825
Weak Boyer Moore,2,385080
Weak Memorizing Boyer Moore,2,385080
Weak Turbo Boyer Moore,2,385080
Weak Boyer Moore,2,386435
Weak Memorizing Boyer Moore,2,386435
Weak Turbo Boyer Moore,2,386435
Weak Boyer Moore,2,384417
Weak Memorizing Boyer Moore,2,384417
Weak Turbo Boyer Moore,2,384417
Weak Boyer Moore,2,386695
Weak Memorizing Boyer Moore,2,386695
