algorithm,text_length,pattern_length,execution,matches,prep_time_ms,time_ms
Weak Boyer Moore,10000000,2,0,14940,0,23
Weak Boyer Moore,10000000,2,1,14940,0,23
Weak Boyer Moore,10000000,2,2,14940,0,20
Weak Boyer Moore,10000000,2,3,14940,0,22
Weak Boyer Moore,10000000,2,4,14940,0,23
Weak Boyer Moore,10000000,2,5,14940,0,20
Weak Boyer Moore,10000000,2,6,14940,0,19
Weak Boyer Moore,10000000,2,7,14940,0,20
Weak Boyer Moore,10000000,2,8,14940,0,20
Weak Boyer Moore,10000000,2,9,14940,0,20
Weak Memorizing Boyer Moore,10000000,2,0,14940,0,26
Weak Memorizing Boyer Moore,10000000,2,1,14940,0,27
Weak Memorizing Boyer Moore,10000000,2,2,14940,0,27
Weak Memorizing Boyer Moore,10000000,2,3,14940,0,31
Weak Memorizing Boyer Moore,10000000,2,4,14940,0,30
Weak Memorizing Boyer Moore,10000000,2,5,14940,0,30
Weak Memorizing Boyer Moore,10000000,2,6,14940,0,27
Weak Memorizing Boyer Moore,10000000,2,7,14940,0,30
Weak Memorizing Boyer Moore,10000000,2,8,14940,0,27
Weak Memorizing Boyer Moore,10000000,2,9,14940,0,28
Weak Turbo Boyer Moore,10000000,2,0,14940,0,31
Weak Turbo Boyer Moore,10000000,2,1,14940,0,41
Weak Turbo Boyer Moore,10000000,2,2,14940,0,35
Weak Turbo Boyer Moore,10000000,2,3,14940,0,30
Weak Turbo Boyer Moore,10000000,2,4,14940,0,36
Weak Turbo Boyer Moore,10000000,2,5,14940,0,34
Weak Turbo Boyer Moore,10000000,2,6,14940,0,32
Weak Turbo Boyer Moore,10000000,2,7,14940,0,34
Weak Turbo Boyer Moore,10000000,2,8,14940,0,31
Weak Turbo Boyer Moore,10000000,2,9,14940,0,30
Naive,10000000,2,0,14940,0,34
Naive,10000000,2,1,14940,0,33
Naive,10000000,2,2,14940,0,31
Naive,10000000,2,3,14940,0,33
Naive,10000000,2,4,14940,0,34
Naive,10000000,2,5,14940,0,34
Naive,10000000,2,6,14940,0,37
Naive,10000000,2,7,14940,0,33
Naive,10000000,2,8,14940,0,34
Naive,10000000,2,9,14940,0,31
KMP,10000000,2,0,14940,0,27
KMP,10000000,2,1,14940,0,28
KMP,10000000,2,2,14940,0,29
KMP,10000000,2,3,14940,0,28
KMP,10000000,2,4,14940,0,29
KMP,10000000,2,5,14940,0,31
KMP,10000000,2,6,14940,0,30
KMP,10000000,2,7,14940,0,29
KMP,10000000,2,8,14940,0,28
KMP,10000000,2,9,14940,0,30
Horspool,10000000,2,0,14940,0,20
Horspool,10000000,2,1,14940,0,19
Horspool,10000000,2,2,14940,0,23
Horspool,10000000,2,3,14940,0,20
Horspool,10000000,2,4,14940,0,30
Horspool,10000000,2,5,14940,0,20
Horspool,10000000,2,6,14940,0,19
Horspool,10000000,2,7,14940,0,20
Horspool,10000000,2,8,14940,0,20
Horspool,10000000,2,9,14940,0,20
Shift-And,10000000,2,0,14940,0,9
Shift-And,10000000,2,1,14940,0,9
Shift-And,10000000,2,2,14940,0,8
Shift-And,10000000,2,3,14940,0,8
Shift-And,10000000,2,4,14940,0,9
Shift-And,10000000,2,5,14940,0,9
Shift-And,10000000,2,6,14940,0,8
Shift-And,10000000,2,7,14940,0,8
Shift-And,10000000,2,8,14940,0,8
Shift-And,10000000,2,9,14940,0,8
Weak Boyer Moore,10000000,2,0,14796,0,19
Weak Boyer Moore,10000000,2,1,14796,0,18
Weak Boyer Moore,10000000,2,2,14796,0,19
Weak Boyer Moore,10000000,2,3,14796,0,19
Weak Boyer Moore,10000000,2,4,14796,0,18
Weak Boyer Moore,10000000,2,5,14796,0,18
Weak Boyer Moore,10000000,2,6,14796,0,19
Weak Boyer Moore,10000000,2,7,14796,0,20
Weak Boyer Moore,10000000,2,8,14796,0,19
Weak Boyer Moore,10000000,2,9,14796,0,19
Weak Memorizing Boyer Moore,10000000,2,0,14796,0,27
Weak Memorizing Boyer Moore,10000000,2,1,14796,0,27
Weak Memorizing Boyer Moore,10000000,2,2,14796,0,27
Weak Memorizing Boyer Moore,10000000,2,3,14796,0,27
Weak Memorizing Boyer Moore,10000000,2,4,14796,0,30
Weak Memorizing Boyer Moore,10000000,2,5,14796,0,32
Weak Memorizing Boyer Moore,10000000,2,6,14796,0,28
Weak Memorizing Boyer Moore,10000000,2,7,14796,0,27
Weak Memorizing Boyer Moore,10000000,2,8,14796,0,31
Weak Memorizing Boyer Moore,10000000,2,9,14796,0,30
Weak Turbo Boyer Moore,10000000,2,0,14796,0,32
Weak Turbo Boyer Moore,10000000,2,1,14796,0,29
Weak Turbo Boyer Moore,10000000,2,2,14796,0,31
Weak Turbo Boyer Moore,10000000,2,3,14796,0,32
Weak Turbo Boyer Moore,10000000,2,4,14796,0,28
Weak Turbo Boyer Moore,10000000,2,5,14796,0,29
Weak Turbo Boyer Moore,10000000,2,6,14796,0,31
Weak Turbo Boyer Moore,10000000,2,7,14796,0,28
Weak Turbo Boyer Moore,10000000,2,8,14796,0,29
Weak Turbo Boyer Moore,10000000,2,9,14796,0,28
Naive,10000000,2,0,14796,0,32
Naive,10000000,2,1,14796,0,31
Naive,10000000,2,2,14796,0,31
Naive,10000000,2,3,14796,0,32
Naive,10000000,2,4,14796,0,39
Naive,10000000,2,5,14796,0,32
Naive,10000000,2,6,14796,0,31
Naive,10000000,2,7,14796,0,30
Naive,10000000,2,8,14796,0,35
Naive,10000000,2,9,14796,0,31
KMP,10000000,2,0,14796,0,29
KMP,10000000,2,1,14796,0,33
KMP,10000000,2,2,14796,0,34
KMP,10000000,2,3,14796,0,31
KMP,10000000,2,4,14796,0,33
KMP,10000000,2,5,14796,0,33
KMP,10000000,2,6,14796,0,27
KMP,10000000,2,7,14796,0,26
KMP,10000000,2,8,14796,0,28
KMP,10000000,2,9,14796,0,34
Horspool,10000000,2,0,14796,0,20
Horspool,10000000,2,1,14796,0,20
Horspool,10000000,2,2,14796,0,19
Horspool,10000000,2,3,14796,0,19
Horspool,10000000,2,4,14796,0,20
Horspool,10000000,2,5,14796,0,19
Horspool,10000000,2,6,14796,0,22
Horspool,10000000,2,7,14796,0,27
Horspool,10000000,2,8,14796,0,23
Horspool,10000000,2,9,14796,0,21
Shift-And,10000000,2,0,14796,0,11
Shift-And,10000000,2,1,14796,0,10
Shift-And,10000000,2,2,14796,0,9
Shift-And,10000000,2,3,14796,0,9
Shift-And,10000000,2,4,14796,0,10
Shift-And,10000000,2,5,14796,0,8
Shift-And,10000000,2,6,14796,0,9
Shift-And,10000000,2,7,14796,0,9
