algorithm,text_length,pattern_length,execution,matches,prep_time_ms,time_ms
Weak Boyer Moore,10485762,4,0,655430,0,52
Weak Boyer Moore,10485762,4,1,655430,0,48
Weak Boyer Moore,10485762,4,2,655430,0,48
Weak Boyer Moore,10485762,4,3,655430,0,48
Weak Boyer Moore,10485762,4,4,655430,0,47
Weak Boyer Moore,10485762,4,5,655430,0,46
Weak Boyer Moore,10485762,4,6,655430,0,48
Weak Boyer Moore,10485762,4,7,655430,0,47
Weak Boyer Moore,10485762,4,8,655430,0,47
Weak Boyer Moore,10485762,4,9,655430,0,48
Weak Memorizing Boyer Moore,10485762,4,0,655430,0,52
Weak Memorizing Boyer Moore,10485762,4,1,655430,0,49
Weak Memorizing Boyer Moore,10485762,4,2,655430,0,50
Weak Memorizing Boyer Moore,10485762,4,3,655430,0,51
Weak Memorizing Boyer Moore,10485762,4,4,655430,0,51
Weak Memorizing Boyer Moore,10485762,4,5,655430,0,51
Weak Memorizing Boyer Moore,10485762,4,6,655430,0,49
Weak Memorizing Boyer Moore,10485762,4,7,655430,0,49
Weak Memorizing Boyer Moore,10485762,4,8,655430,0,49
Weak Memorizing Boyer Moore,10485762,4,9,655430,0,49
Weak Turbo Boyer Moore,10485762,4,0,655430,0,46
Weak Turbo Boyer Moore,10485762,4,1,655430,0,47
Weak Turbo Boyer Moore,10485762,4,2,655430,0,44
Weak Turbo Boyer Moore,10485762,4,3,655430,0,47
Weak Turbo Boyer Moore,10485762,4,4,655430,0,45
Weak Turbo Boyer Moore,10485762,4,5,655430,0,45
Weak Turbo Boyer Moore,10485762,4,6,655430,0,45
Weak Turbo Boyer Moore,10485762,4,7,655430,0,45
Weak Turbo Boyer Moore,10485762,4,8,655430,0,46
Weak Turbo Boyer Moore,10485762,4,9,655430,0,44
Naive,10485762,4,0,655430,0,43
Naive,10485762,4,1,655430,0,45
Naive,10485762,4,2,655430,0,43
Naive,10485762,4,3,655430,0,43
Naive,10485762,4,4,655430,0,43
Naive,10485762,4,5,655430,0,44
Naive,10485762,4,6,655430,0,44
Naive,10485762,4,7,655430,0,44
Naive,10485762,4,8,655430,0,44
Naive,10485762,4,9,655430,0,45
KMP,10485762,4,0,655430,0,79
KMP,10485762,4,1,655430,0,80
KMP,10485762,4,2,655430,0,80
KMP,10485762,4,3,655430,0,85
KMP,10485762,4,4,655430,0,80
KMP,10485762,4,5,655430,0,81
KMP,10485762,4,6,655430,0,79
KMP,10485762,4,7,655430,0,83
KMP,10485762,4,8,655430,0,81
KMP,10485762,4,9,655430,0,80
Horspool,10485762,4,0,655430,0,96
Horspool,10485762,4,1,655430,0,97
Horspool,10485762,4,2,655430,0,94
Horspool,10485762,4,3,655430,0,97
Horspool,10485762,4,4,655430,0,98
Horspool,10485762,4,5,655430,0,99
Horspool,10485762,4,6,655430,0,101
Horspool,10485762,4,7,655430,0,95
Horspool,10485762,4,8,655430,0,97
Horspool,10485762,4,9,655430,0,90
Shift-And,10485762,4,0,655430,0,25
Shift-And,10485762,4,1,655430,0,18
Shift-And,10485762,4,2,655430,0,17
Shift-And,10485762,4,3,655430,0,19
Shift-And,10485762,4,4,655430,0,18
Shift-And,10485762,4,5,655430,0,17
Shift-And,10485762,4,6,655430,0,17
Shift-And,10485762,4,7,655430,0,17
Shift-And,10485762,4,8,655430,0,17
Shift-And,10485762,4,9,655430,0,17
