algorithm,text_length,pattern_length,execution,matches,prep_time_ms,time_ms
Weak Boyer Moore,10485762,2,0,2620955,0,53
Weak Boyer Moore,10485762,2,1,2620955,0,51
Weak Boyer Moore,10485762,2,2,2620955,0,52
Weak Boyer Moore,10485762,2,3,2620955,0,50
Weak Boyer Moore,10485762,2,4,2620955,0,51
Weak Boyer Moore,10485762,2,5,2620955,0,53
Weak Boyer Moore,10485762,2,6,2620955,0,51
Weak Boyer Moore,10485762,2,7,2620955,0,49
Weak Boyer Moore,10485762,2,8,2620955,0,53
Weak Boyer Moore,10485762,2,9,2620955,0,52
Weak Boyer Moore,10485762,3,0,1312350,0,39
Weak Boyer Moore,10485762,3,1,1312350,0,39
Weak Boyer Moore,10485762,3,2,1312350,0,36
Weak Boyer Moore,10485762,3,3,1312350,0,36
Weak Boyer Moore,10485762,3,4,1312350,0,36
Weak Boyer Moore,10485762,3,5,1312350,0,37
Weak Boyer Moore,10485762,3,6,1312350,0,38
Weak Boyer Moore,10485762,3,7,1312350,0,37
Weak Boyer Moore,10485762,3,8,1312350,0,37
Weak Boyer Moore,10485762,3,9,1312350,0,36
Weak Boyer Moore,10485762,4,0,655164,0,37
Weak Boyer Moore,10485762,4,1,655164,0,38
Weak Boyer Moore,10485762,4,2,655164,0,36
Weak Boyer Moore,10485762,4,3,655164,0,37
Weak Boyer Moore,10485762,4,4,655164,0,36
Weak Boyer Moore,10485762,4,5,655164,0,37
Weak Boyer Moore,10485762,4,6,655164,0,36
Weak Boyer Moore,10485762,4,7,655164,0,37
Weak Boyer Moore,10485762,4,8,655164,0,38
Weak Boyer Moore,10485762,4,9,655164,0,37
Weak Boyer Moore,10485762,5,0,327566,0,40
Weak Boyer Moore,10485762,5,1,327566,0,42
Weak Boyer Moore,10485762,5,2,327566,0,42
Weak Boyer Moore,10485762,5,3,327566,0,41
Weak Boyer Moore,10485762,5,4,327566,0,41
Weak Boyer Moore,10485762,5,5,327566,0,41
Weak Boyer Moore,10485762,5,6,327566,0,40
