algorithm,pattern_length,inspections
Weak Boyer Moore,2,6116335
Weak Memorizing Boyer Moore,2,4368363
Weak Turbo Boyer Moore,2,4368363
Weak Boyer Moore,2,6116209
Weak Memorizing Boyer Moore,2,6116209
Weak Turbo Boyer Moore,2,6116209
Weak Boyer Moore,2,6115385
Weak Memorizing Boyer Moore,2,6115385
Weak Turbo Boyer Moore,2,6115385
Weak Boyer Moore,2,6119670
Weak Memorizing Boyer Moore,2,4370738
Weak Turbo Boyer Moore,2,4370738
Weak Boyer Moore,3,5343571
Weak Memorizing Boyer Moore,3,3529410
Weak Turbo Boyer Moore,3,3529410
Weak Boyer Moore,3,5897910
Weak Memorizing Boyer Moore,3,5897910
Weak Turbo Boyer Moore,3,5897910
Weak Boyer Moore,3,7425920
Weak Memorizing Boyer Moore,3,6552934
Weak Turbo Boyer Moore,3,6552934
Weak Boyer Moore,3,5305656
Weak Memorizing Boyer Moore,3,4806079
Weak Turbo Boyer Moore,3,4806079
Weak Boyer Moore,3,5304481
Weak Memorizing Boyer Moore,3,4804785
Weak Turbo Boyer Moore,3,4804785
Weak Boyer Moore,3,7426527
Weak Memorizing Boyer Moore,3,6552853
Weak Turbo Boyer Moore,3,6552853
Weak Boyer Moore,3,5897640
Weak Memorizing Boyer Moore,3,5897640
Weak Turbo Boyer Moore,3,5897640
Weak Boyer Moore,3,5348027
Weak Memorizing Boyer Moore,3,3529592
Weak Turbo Boyer Moore,3,3529592
Weak Boyer Moore,4,4251467
Weak Memorizing Boyer Moore,4,2864481
Weak Turbo Boyer Moore,4,2864481
Weak Boyer Moore,4,5374074
Weak Memorizing Boyer Moore,4,5374074
Weak Turbo Boyer Moore,4,5374074
Weak Boyer Moore,4,6335169
Weak Memorizing Boyer Moore,4,5897619
Weak Turbo Boyer Moore,4,5897619
Weak Boyer Moore,4,5297805
Weak Memorizing Boyer Moore,4,4860564
Weak Turbo Boyer Moore,4,4860564
Weak Boyer Moore,4,5959584
Weak Memorizing Boyer Moore,4,5272507
Weak Turbo Boyer Moore,4,5272507
Weak Boyer Moore,4,6927895
Weak Memorizing Boyer Moore,4,5804935
Weak Turbo Boyer Moore,4,4916647
Weak Boyer Moore,4,6552669
Weak Memorizing Boyer Moore,4,6224756
Weak Turbo Boyer Moore,4,6224756
Weak Boyer Moore,4,4257697
Weak Memorizing Boyer Moore,4,3720314
Weak Turbo Boyer Moore,4,3720314
Weak Boyer Moore,4,4259067
Weak Memorizing Boyer Moore,4,3721719
Weak Turbo Boyer Moore,4,3721719
Weak Boyer Moore,4,6553128
Weak Memorizing Boyer Moore,4,6225730
Weak Turbo Boyer Moore,4,6225730
Weak Boyer Moore,4,6926580
Weak Memorizing Boyer Moore,4,5803444
Weak Turbo Boyer Moore,4,4914068
Weak Boyer Moore,4,5960912
Weak Memorizing Boyer Moore,4,5274360
Weak Turbo Boyer Moore,4,5274360
Weak Boyer Moore,4,5297681
Weak Memorizing Boyer Moore,4,4859842
Weak Turbo Boyer Moore,4,4859842
Weak Boyer Moore,4,6334333
Weak Memorizing Boyer Moore,4,5897689
Weak Turbo Boyer Moore,4,5897689
Weak Boyer Moore,4,5372341
Weak Memorizing Boyer Moore,4,5372341
Weak Turbo Boyer Moore,4,5372341
Weak Boyer Moore,4,4259850
Weak Memorizing Boyer Moore,4,2867149
Weak Turbo Boyer Moore,4,2867149
Weak Boyer Moore,5,3298849
Weak Memorizing Boyer Moore,5,2361838
Weak Turbo Boyer Moore,5,2361838
Weak Boyer Moore,5,4804884
Weak Memorizing Boyer Moore,5,4804884
Weak Turbo Boyer Moore,5,4804884
Weak Boyer Moore,5,5495946
Weak Memorizing Boyer Moore,5,5241232
Weak Turbo Boyer Moore,5,5241232
Weak Boyer Moore,5,5038845
Weak Memorizing Boyer Moore,5,4649927
Weak Turbo Boyer Moore,5,4649927
Weak Boyer Moore,5,6287381
Weak Memorizing Boyer Moore,5,5412924
Weak Turbo Boyer Moore,5,5412924
Weak Boyer Moore,5,5352255
Weak Memorizing Boyer Moore,5,4853071
Weak Turbo Boyer Moore,5,4497547
Weak Boyer Moore,5,5741226
Weak Memorizing Boyer Moore,5,5569282
Weak Turbo Boyer Moore,5,5569282
Weak Boyer Moore,5,4319247
Weak Memorizing Boyer Moore,5,3814921
Weak Turbo Boyer Moore,5,3814921
Weak Boyer Moore,5,4586755
Weak Memorizing Boyer Moore,5,4005610
Weak Turbo Boyer Moore,5,4005610
Weak Boyer Moore,5,6113542
Weak Memorizing Boyer Moore,5,5677068
Weak Turbo Boyer Moore,5,4868119
Weak Boyer Moore,5,5526156
Weak Memorizing Boyer Moore,5,4912847
Weak Turbo Boyer Moore,5,4616418
Weak Boyer Moore,5,4892235
Weak Memorizing Boyer Moore,5,4503317
Weak Turbo Boyer Moore,5,4503317
Weak Boyer Moore,5,5625390
Weak Memorizing Boyer Moore,5,5105739
Weak Turbo Boyer Moore,5,5105739
Weak Boyer Moore,5,6661652
Weak Memorizing Boyer Moore,5,5963231
Weak Turbo Boyer Moore,5,5242966
Weak Boyer Moore,5,5699513
Weak Memorizing Boyer Moore,5,5568352
Weak Turbo Boyer Moore,5,5568352
Weak Boyer Moore,5,3368166
Weak Memorizing Boyer Moore,5,2948387
Weak Turbo Boyer Moore,5,2948387
Weak Boyer Moore,5,3362777
Weak Memorizing Boyer Moore,5,2945927
Weak Turbo Boyer Moore,5,2945927
Weak Boyer Moore,5,5702092
