algorithm,text_length,pattern_length,execution,matches,prep_time_ms,time_ms
Weak Boyer Moore,10485762,2,0,2621082,0,57
Weak Boyer Moore,10485762,2,1,2621082,0,45
Weak Boyer Moore,10485762,2,2,2621082,0,45
Weak Boyer Moore,10485762,2,3,2621082,0,45
Weak Boyer Moore,10485762,2,4,2621082,0,47
Weak Boyer Moore,10485762,2,5,2621082,0,46
Weak Boyer Moore,10485762,2,6,2621082,0,47
Weak Boyer Moore,10485762,2,7,2621082,0,47
Weak Boyer Moore,10485762,2,8,2621082,0,48
Weak Boyer Moore,10485762,2,9,2621082,0,47
Weak Memorizing Boyer Moore,10485762,2,0,2621082,0,51
Weak Memorizing Boyer Moore,10485762,2,1,2621082,0,53
Weak Memorizing Boyer Moore,10485762,2,2,2621082,0,52
Weak Memorizing Boyer Moore,10485762,2,3,2621082,0,52
Weak Memorizing Boyer Moore,10485762,2,4,2621082,0,52
Weak Memorizing Boyer Moore,10485762,2,5,2621082,0,52
Weak Memorizing Boyer Moore,10485762,2,6,2621082,0,51
Weak Memorizing Boyer Moore,10485762,2,7,2621082,0,52
Weak Memorizing Boyer Moore,10485762,2,8,2621082,0,53
Weak Memorizing Boyer Moore,10485762,2,9,2621082,0,53
Weak Turbo Boyer Moore,10485762,2,0,2621082,0,54
Weak Turbo Boyer Moore,10485762,2,1,2621082,0,54
Weak Turbo Boyer Moore,10485762,2,2,2621082,0,53
Weak Turbo Boyer Moore,10485762,2,3,2621082,0,55
Weak Turbo Boyer Moore,10485762,2,4,2621082,0,53
Weak Turbo Boyer Moore,10485762,2,5,2621082,0,56
Weak Turbo Boyer Moore,10485762,2,6,2621082,0,53
Weak Turbo Boyer Moore,10485762,2,7,2621082,0,54
Weak Turbo Boyer Moore,10485762,2,8,2621082,0,53
Weak Turbo Boyer Moore,10485762,2,9,2621082,0,54
Naive,10485762,2,0,2621082,0,54
Naive,10485762,2,1,2621082,0,52
Naive,10485762,2,2,2621082,0,53
Naive,10485762,2,3,2621082,0,54
Naive,10485762,2,4,2621082,0,53
Naive,10485762,2,5,2621082,0,56
Naive,10485762,2,6,2621082,0,53
Naive,10485762,2,7,2621082,0,53
Naive,10485762,2,8,2621082,0,52
Naive,10485762,2,9,2621082,0,54
KMP,10485762,2,0,2621082,0,120
KMP,10485762,2,1,2621082,0,120
