algorithm,text_length,pattern_length,execution,matches,prep_time_ms,time_ms
Weak Boyer Moore,10485762,3,0,1310445,0,37
Weak Boyer Moore,10485762,3,1,1310445,0,36
Weak Boyer Moore,10485762,3,2,1310445,0,33
Weak Boyer Moore,10485762,3,3,1310445,0,33
Weak Boyer Moore,10485762,3,4,1310445,0,34
Weak Boyer Moore,10485762,3,5,1310445,0,35
Weak Boyer Moore,10485762,3,6,1310445,0,33
Weak Boyer Moore,10485762,3,7,1310445,0,35
Weak Boyer Moore,10485762,3,8,1310445,0,35
Weak Boyer Moore,10485762,3,9,1310445,0,34
Weak Memorizing Boyer Moore,10485762,3,0,1310445,0,38
Weak Memorizing Boyer Moore,10485762,3,1,1310445,0,37
Weak Memorizing Boyer Moore,10485762,3,2,1310445,0,41
Weak Memorizing Boyer Moore,10485762,3,3,1310445,0,37
Weak Memorizing Boyer Moore,10485762,3,4,1310445,0,38
Weak Memorizing Boyer Moore,10485762,3,5,1310445,0,38
Weak Memorizing Boyer Moore,10485762,3,6,1310445,0,37
Weak Memorizing Boyer Moore,10485762,3,7,1310445,0,38
Weak Memorizing Boyer Moore,10485762,3,8,1310445,0,41
Weak Memorizing Boyer Moore,10485762,3,9,1310445,0,41
Weak Turbo Boyer Moore,10485762,3,0,1310445,0,39
Weak Turbo Boyer Moore,10485762,3,1,1310445,0,39
Weak Turbo Boyer Moore,10485762,3,2,1310445,0,39
Weak Turbo Boyer Moore,10485762,3,3,1310445,0,39
Weak Turbo Boyer Moore,10485762,3,4,1310445,0,40
Weak Turbo Boyer Moore,10485762,3,5,1310445,0,39
Weak Turbo Boyer Moore,10485762,3,6,1310445,0,38
Weak Turbo Boyer Moore,10485762,3,7,1310445,0,38
Weak Turbo Boyer Moore,10485762,3,8,1310445,0,39
Weak Turbo Boyer Moore,10485762,3,9,1310445,0,39
Naive,10485762,3,0,1310445,0,40
Naive,10485762,3,1,1310445,0,40
Naive,10485762,3,2,1310445,0,38
Naive,10485762,3,3,1310445,0,40
Naive,10485762,3,4,1310445,0,43
Naive,10485762,3,5,1310445,0,40
Naive,10485762,3,6,1310445,0,40
Naive,10485762,3,7,1310445,0,40
Naive,10485762,3,8,1310445,0,40
Naive,10485762,3,9,1310445,0,40
KMP,10485762,3,0,1310445,0,95
KMP,10485762,3,1,1310445,0,91
KMP,10485762,3,2,1310445,0,92
KMP,10485762,3,3,1310445,0,93
KMP,10485762,3,4,1310445,0,92
KMP,10485762,3,5,1310445,0,90
KMP,10485762,3,6,1310445,0,92
KMP,10485762,3,7,1310445,0,92
KMP,10485762,3,8,1310445,0,92
KMP,10485762,3,9,1310445,0,92
Horspool,10485762,3,0,1310445,0,141
Horspool,10485762,3,1,1310445,0,131
Horspool,10485762,3,2,1310445,0,130
Horspool,10485762,3,3,1310445,0,133
Horspool,10485762,3,4,1310445,0,134
Horspool,10485762,3,5,1310445,0,131
Horspool,10485762,3,6,1310445,0,133
Horspool,10485762,3,7,1310445,0,130
Horspool,10485762,3,8,1310445,0,135
Horspool,10485762,3,9,1310445,0,130
Shift-And,10485762,3,0,1310445,0,30
Shift-And,10485762,3,1,1310445,0,28
Shift-And,10485762,3,2,1310445,0,30
Shift-And,10485762,3,3,1310445,0,29
Shift-And,10485762,3,4,1310445,0,29
Shift-And,10485762,3,5,1310445,0,29
Shift-And,10485762,3,6,1310445,0,29
Shift-And,10485762,3,7,1310445,0,28
Shift-And,10485762,3,8,1310445,0,30
Shift-And,10485762,3,9,1310445,0,29
Weak Boyer Moore,10485762,3,0,1310637,0,42
Weak Boyer Moore,10485762,3,1,1310637,0,40
Weak Boyer Moore,10485762,3,2,1310637,0,36
Weak Boyer Moore,10485762,3,3,1310637,0,36
Weak Boyer Moore,10485762,3,4,1310637,0,37
Weak Boyer Moore,10485762,3,5,1310637,0,36
Weak Boyer Moore,10485762,3,6,1310637,0,39
Weak Boyer Moore,10485762,3,7,1310637,0,37
Weak Boyer Moore,10485762,3,8,1310637,0,38
Weak Boyer Moore,10485762,3,9,1310637,0,37
Weak Memorizing Boyer Moore,10485762,3,0,1310637,0,41
Weak Memorizing Boyer Moore,10485762,3,1,1310637,0,42
Weak Memorizing Boyer Moore,10485762,3,2,1310637,0,40
Weak Memorizing Boyer Moore,10485762,3,3,1310637,0,40
Weak Memorizing Boyer Moore,10485762,3,4,1310637,0,40
Weak Memorizing Boyer Moore,10485762,3,5,1310637,0,42
Weak Memorizing Boyer Moore,10485762,3,6,1310637,0,40
Weak Memorizing Boyer Moore,10485762,3,7,1310637,0,41
Weak Memorizing Boyer Moore,10485762,3,8,1310637,0,42
Weak Memorizing Boyer Moore,10485762,3,9,1310637,0,40
Weak Turbo Boyer Moore,10485762,3,0,1310637,0,42
Weak Turbo Boyer Moore,10485762,3,1,1310637,0,42
Weak Turbo Boyer Moore,10485762,3,2,1310637,0,42
Weak Turbo Boyer Moore,10485762,3,3,1310637,0,42
Weak Turbo Boyer Moore,10485762,3,4,1310637,0,44
Weak Turbo Boyer Moore,10485762,3,5,1310637,0,41
Weak Turbo Boyer Moore,10485762,3,6,1310637,0,43
Weak Turbo Boyer Moore,10485762,3,7,1310637,0,42
Weak Turbo Boyer Moore,10485762,3,8,1310637,0,43
Weak Turbo Boyer Moore,10485762,3,9,1310637,0,43
Naive,10485762,3,0,1310637,0,40
Naive,10485762,3,1,1310637,0,43
Naive,10485762,3,2,1310637,0,41
Naive,10485762,3,3,1310637,0,42
Naive,10485762,3,4,1310637,0,39
Naive,10485762,3,5,1310637,0,42
Naive,10485762,3,6,1310637,0,41
Naive,10485762,3,7,1310637,0,41
Naive,10485762,3,8,1310637,0,42
Naive,10485762,3,9,1310637,0,41
KMP,10485762,3,0,1310637,0,94
KMP,10485762,3,1,1310637,0,93
KMP,10485762,3,2,1310637,0,93
KMP,10485762,3,3,1310637,0,94
KMP,10485762,3,4,1310637,0,93
KMP,10485762,3,5,1310637,0,94
KMP,10485762,3,6,1310637,0,92
KMP,10485762,3,7,1310637,0,95
KMP,10485762,3,8,1310637,0,96
KMP,10485762,3,9,1310637,0,92
Horspool,10485762,3,0,1310637,0,142
Horspool,10485762,3,1,1310637,0,142
Horspool,10485762,3,2,1310637,0,143
Horspool,10485762,3,3,1310637,0,139
Horspool,10485762,3,4,1310637,0,143
Horspool,10485762,3,5,1310637,0,150
Horspool,10485762,3,6,1310637,0,148
Horspool,10485762,3,7,1310637,0,165
Horspool,10485762,3,8,1310637,0,147
Horspool,10485762,3,9,1310637,0,141
Shift-And,10485762,3,0,1310637,0,30
Shift-And,10485762,3,1,1310637,0,31
Shift-And,10485762,3,2,1310637,0,30
Shift-And,10485762,3,3,1310637,0,29
Shift-And,10485762,3,4,1310637,0,32
Shift-And,10485762,3,5,1310637,0,30
Shift-And,10485762,3,6,1310637,0,29
Shift-And,10485762,3,7,1310637,0,29
Shift-And,10485762,3,8,1310637,0,29
Shift-And,10485762,3,9,1310637,0,29
Weak Boyer Moore,10485762,3,0,1310536,0,56
Weak Boyer Moore,10485762,3,1,1310536,0,50
Weak Boyer Moore,10485762,3,2,1310536,0,46
Weak Boyer Moore,10485762,3,3,1310536,0,49
Weak Boyer Moore,10485762,3,4,1310536,0,51
Weak Boyer Moore,10485762,3,5,1310536,0,48
Weak Boyer Moore,10485762,3,6,1310536,0,47
Weak Boyer Moore,10485762,3,7,1310536,0,47
Weak Boyer Moore,10485762,3,8,1310536,0,48
Weak Boyer Moore,10485762,3,9,1310536,0,48
Weak Memorizing Boyer Moore,10485762,3,0,1310536,0,55
Weak Memorizing Boyer Moore,10485762,3,1,1310536,0,55
Weak Memorizing Boyer Moore,10485762,3,2,1310536,0,55
Weak Memorizing Boyer Moore,10485762,3,3,1310536,0,55
Weak Memorizing Boyer Moore,10485762,3,4,1310536,0,55
Weak Memorizing Boyer Moore,10485762,3,5,1310536,0,55
Weak Memorizing Boyer Moore,10485762,3,6,1310536,0,55
Weak Memorizing Boyer Moore,10485762,3,7,1310536,0,56
Weak Memorizing Boyer Moore,10485762,3,8,1310536,0,56
Weak Memorizing Boyer Moore,10485762,3,9,1310536,0,57
Weak Turbo Boyer Moore,10485762,3,0,1310536,0,57
Weak Turbo Boyer Moore,10485762,3,1,1310536,0,57
