algorithm,pattern_length,inspections
Weak Boyer Moore,2,2052460
Weak Memorizing Boyer Moore,2,1695326
Weak Turbo Boyer Moore,2,1695326
Weak Boyer Moore,2,2623966
Weak Memorizing Boyer Moore,2,2623966
Weak Turbo Boyer Moore,2,2623966
Weak Boyer Moore,2,2057030
Weak Memorizing Boyer Moore,2,1699386
Weak Turbo Boyer Moore,2,1699386
Weak Boyer Moore,2,2626434
Weak Memorizing Boyer Moore,2,2626434
Weak Turbo Boyer Moore,2,2626434
Weak Boyer Moore,2,2627320
Weak Memorizing Boyer Moore,2,2627320
Weak Turbo Boyer Moore,2,2627320
Weak Boyer Moore,2,2622883
Weak Memorizing Boyer Moore,2,2622883
Weak Turbo Boyer Moore,2,2622883
Weak Boyer Moore,2,2624869
Weak Memorizing Boyer Moore,2,2624869
Weak Turbo Boyer Moore,2,2624869
Weak Boyer Moore,2,2052048
Weak Memorizing Boyer Moore,2,1694633
Weak Turbo Boyer Moore,2,1694633
Weak Boyer Moore,2,2627580
Weak Memorizing Boyer Moore,2,2627580
Weak Turbo Boyer Moore,2,2627580
Weak Boyer Moore,2,2624957
Weak Memorizing Boyer Moore,2,2624957
Weak Turbo Boyer Moore,2,2624957
Weak Boyer Moore,2,2621550
Weak Memorizing Boyer Moore,2,2621550
Weak Turbo Boyer Moore,2,2621550
Weak Boyer Moore,2,2625794
Weak Memorizing Boyer Moore,2,2625794
Weak Turbo Boyer Moore,2,2625794
Weak Boyer Moore,2,2055731
Weak Memorizing Boyer Moore,2,1698481
Weak Turbo Boyer Moore,2,1698481
Weak Boyer Moore,2,2627996
Weak Memorizing Boyer Moore,2,2627996
Weak Turbo Boyer Moore,2,2627996
Weak Boyer Moore,2,2623675
Weak Memorizing Boyer Moore,2,2623675
Weak Turbo Boyer Moore,2,2623675
Weak Boyer Moore,2,2621653
Weak Memorizing Boyer Moore,2,2621653
Weak Turbo Boyer Moore,2,2621653
Weak Boyer Moore,3,1926508
Weak Memorizing Boyer Moore,3,1721379
Weak Turbo Boyer Moore,3,1721379
Weak Boyer Moore,3,2344035
Weak Memorizing Boyer Moore,3,2344035
Weak Turbo Boyer Moore,3,2344035
Weak Boyer Moore,3,2344710
Weak Memorizing Boyer Moore,3,2344710
Weak Turbo Boyer Moore,3,2344710
Weak Boyer Moore,3,1927719
Weak Memorizing Boyer Moore,3,1723678
Weak Turbo Boyer Moore,3,1723678
Weak Boyer Moore,3,2344644
Weak Memorizing Boyer Moore,3,2344644
Weak Turbo Boyer Moore,3,2344644
Weak Boyer Moore,3,2341895
Weak Memorizing Boyer Moore,3,2341895
Weak Turbo Boyer Moore,3,2341895
Weak Boyer Moore,3,1926224
Weak Memorizing Boyer Moore,3,1721095
Weak Turbo Boyer Moore,3,1721095
Weak Boyer Moore,3,1927921
Weak Memorizing Boyer Moore,3,1723612
Weak Turbo Boyer Moore,3,1723612
Weak Boyer Moore,3,1380195
Weak Memorizing Boyer Moore,3,1196275
Weak Turbo Boyer Moore,3,1196275
Weak Boyer Moore,3,1927862
Weak Memorizing Boyer Moore,3,1723821
Weak Turbo Boyer Moore,3,1723821
Weak Boyer Moore,3,1927880
Weak Memorizing Boyer Moore,3,1723839
Weak Turbo Boyer Moore,3,1723839
Weak Boyer Moore,3,1924147
Weak Memorizing Boyer Moore,3,1719624
Weak Turbo Boyer Moore,3,1719624
Weak Boyer Moore,3,2781802
Weak Memorizing Boyer Moore,3,2656132
Weak Turbo Boyer Moore,3,2656132
Weak Boyer Moore,3,2341626
Weak Memorizing Boyer Moore,3,2341626
Weak Turbo Boyer Moore,3,2341626
Weak Boyer Moore,3,2342501
Weak Memorizing Boyer Moore,3,2342501
Weak Turbo Boyer Moore,3,2342501
Weak Boyer Moore,3,2784604
Weak Memorizing Boyer Moore,3,2658727
Weak Turbo Boyer Moore,3,2658727
Weak Boyer Moore,3,2780175
Weak Memorizing Boyer Moore,3,2655467
Weak Turbo Boyer Moore,3,2655467
Weak Boyer Moore,3,2777647
Weak Memorizing Boyer Moore,3,2652791
Weak Turbo Boyer Moore,3,2652791
Weak Boyer Moore,3,2346619
Weak Memorizing Boyer Moore,3,2346619
Weak Turbo Boyer Moore,3,2346619
Weak Boyer Moore,3,2343428
Weak Memorizing Boyer Moore,3,2343428
Weak Turbo Boyer Moore,3,2343428
Weak Boyer Moore,3,2345247
Weak Memorizing Boyer Moore,3,2345247
Weak Turbo Boyer Moore,3,2345247
Weak Boyer Moore,3,1927727
Weak Memorizing Boyer Moore,3,1723418
Weak Turbo Boyer Moore,3,1723418
Weak Boyer Moore,3,2343298
Weak Memorizing Boyer Moore,3,2343298
Weak Turbo Boyer Moore,3,2343298
Weak Boyer Moore,3,1925147
Weak Memorizing Boyer Moore,3,1720018
Weak Turbo Boyer Moore,3,1720018
Weak Boyer Moore,3,2342702
Weak Memorizing Boyer Moore,3,2342702
Weak Turbo Boyer Moore,3,2342702
Weak Boyer Moore,3,2345155
Weak Memorizing Boyer Moore,3,2345155
Weak Turbo Boyer Moore,3,2345155
Weak Boyer Moore,3,2342309
Weak Memorizing Boyer Moore,3,2342309
Weak Turbo Boyer Moore,3,2342309
Weak Boyer Moore,3,2777162
Weak Memorizing Boyer Moore,3,2652878
Weak Turbo Boyer Moore,3,2652878
Weak Boyer Moore,3,1923099
Weak Memorizing Boyer Moore,3,1718576
Weak Turbo Boyer Moore,3,1718576
Weak Boyer Moore,3,2344953
Weak Memorizing Boyer Moore,3,2344953
Weak Turbo Boyer Moore,3,2344953
Weak Boyer Moore,3,2344776
Weak Memorizing Boyer Moore,3,2344776
Weak Turbo Boyer Moore,3,2344776
Weak Boyer Moore,3,2347210
Weak Memorizing Boyer Moore,3,2347210
Weak Turbo Boyer Moore,3,2347210
Weak Boyer Moore,3,2342210
Weak Memorizing Boyer Moore,3,2342210
Weak Turbo Boyer Moore,3,2342210
Weak Boyer Moore,3,2345913
Weak Memorizing Boyer Moore,3,2345913
Weak Turbo Boyer Moore,3,2345913
Weak Boyer Moore,3,1923354
Weak Memorizing Boyer Moore,3,1718831
Weak Turbo Boyer Moore,3,1718831
Weak Boyer Moore,3,2341718
Weak Memorizing Boyer Moore,3,2341718
Weak Turbo Boyer Moore,3,2341718
Weak Boyer Moore,3,2342881
Weak Memorizing Boyer Moore,3,2342881
Weak Turbo Boyer Moore,3,2342881
Weak Boyer Moore,3,2779602
Weak Memorizing Boyer Moore,3,2654907
Weak Turbo Boyer Moore,3,2654907
Weak Boyer Moore,3,1379843
Weak Memorizing Boyer Moore,3,1196163
Weak Turbo Boyer Moore,3,1196163
Weak Boyer Moore,3,2345250
Weak Memorizing Boyer Moore,3,2345250
Weak Turbo Boyer Moore,3,2345250
Weak Boyer Moore,3,2344484
Weak Memorizing Boyer Moore,3,2344484
Weak Turbo Boyer Moore,3,2344484
Weak Boyer Moore,3,1375848
Weak Memorizing Boyer Moore,3,1192645
Weak Turbo Boyer Moore,3,1192645
Weak Boyer Moore,3,2344144
Weak Memorizing Boyer Moore,3,2344144
Weak Turbo Boyer Moore,3,2344144
Weak Boyer Moore,3,2343489
Weak Memorizing Boyer Moore,3,2343489
Weak Turbo Boyer Moore,3,2343489
Weak Boyer Moore,3,2341305
Weak Memorizing Boyer Moore,3,2341305
Weak Turbo Boyer Moore,3,2341305
Weak Boyer Moore,3,2343640
Weak Memorizing Boyer Moore,3,2343640
Weak Turbo Boyer Moore,3,2343640
Weak Boyer Moore,3,1927227
Weak Memorizing Boyer Moore,3,1722918
Weak Turbo Boyer Moore,3,1722918
Weak Boyer Moore,3,2346735
Weak Memorizing Boyer Moore,3,2346735
Weak Turbo Boyer Moore,3,2346735
Weak Boyer Moore,3,2343337
Weak Memorizing Boyer Moore,3,2343337
Weak Turbo Boyer Moore,3,2343337
Weak Boyer Moore,3,2343989
Weak Memorizing Boyer Moore,3,2343989
Weak Turbo Boyer Moore,3,2343989
Weak Boyer Moore,3,2781657
Weak Memorizing Boyer Moore,3,2656815
Weak Turbo Boyer Moore,3,2656815
Weak Boyer Moore,3,2782368
Weak Memorizing Boyer Moore,3,2657284
Weak Turbo Boyer Moore,3,2657284
Weak Boyer Moore,3,2781547
Weak Memorizing Boyer Moore,3,2656212
Weak Turbo Boyer Moore,3,2656212
Weak Boyer Moore,3,1381504
Weak Memorizing Boyer Moore,3,1196517
Weak Turbo Boyer Moore,3,1196517
Weak Boyer Moore,3,2340293
Weak Memorizing Boyer Moore,3,2340293
Weak Turbo Boyer Moore,3,2340293
Weak Boyer Moore,3,2343458
Weak Memorizing Boyer Moore,3,2343458
Weak Turbo Boyer Moore,3,2343458
Weak Boyer Moore,3,2783783
Weak Memorizing Boyer Moore,3,2658726
Weak Turbo Boyer Moore,3,2658726
Weak Boyer Moore,3,2784471
Weak Memorizing Boyer Moore,3,2659108
Weak Turbo Boyer Moore,3,2659108
Weak Boyer Moore,3,2341702
Weak Memorizing Boyer Moore,3,2341702
Weak Turbo Boyer Moore,3,2341702
Weak Boyer Moore,3,2343490
Weak Memorizing Boyer Moore,3,2343490
Weak Turbo Boyer Moore,3,2343490
Weak Boyer Moore,3,2345896
Weak Memorizing Boyer Moore,3,2345896
Weak Turbo Boyer Moore,3,2345896
Weak Boyer Moore,3,2778609
Weak Memorizing Boyer Moore,3,2654262
Weak Turbo Boyer Moore,3,2654262
Weak Boyer Moore,3,2343913
Weak Memorizing Boyer Moore,3,2343913
Weak Turbo Boyer Moore,3,2343913
Weak Boyer Moore,3,2344965
Weak Memorizing Boyer Moore,3,2344965
Weak Turbo Boyer Moore,3,2344965
Weak Boyer Moore,4,2049491
Weak Memorizing Boyer Moore,4,2049491
Weak Turbo Boyer Moore,4,2049491
Weak Boyer Moore,4,2386001
Weak Memorizing Boyer Moore,4,2359849
Weak Turbo Boyer Moore,4,2359849
Weak Boyer Moore,4,2484072
Weak Memorizing Boyer Moore,4,2407857
Weak Turbo Boyer Moore,4,2407857
Weak Boyer Moore,4,2049329
