algorithm,text_length,pattern_length,execution,matches,prep_time_ms,time_ms
Weak Boyer Moore,10000000,2,0,624097,0,28
Weak Boyer Moore,10000000,2,1,624097,0,30
Weak Boyer Moore,10000000,2,2,624097,0,24
Weak Boyer Moore,10000000,2,3,624097,0,30
Weak Boyer Moore,10000000,2,4,624097,0,30
Weak Boyer Moore,10000000,2,5,624097,0,25
Weak Boyer Moore,10000000,2,6,624097,0,24
Weak Boyer Moore,10000000,2,7,624097,0,28
Weak Boyer Moore,10000000,2,8,624097,0,26
Weak Boyer Moore,10000000,2,9,624097,0,26
Weak Memorizing Boyer Moore,10000000,2,0,624097,0,27
Weak Memorizing Boyer Moore,10000000,2,1,624097,0,32
Weak Memorizing Boyer Moore,10000000,2,2,624097,0,30
Weak Memorizing Boyer Moore,10000000,2,3,624097,0,29
Weak Memorizing Boyer Moore,10000000,2,4,624097,0,28
Weak Memorizing Boyer Moore,10000000,2,5,624097,0,30
Weak Memorizing Boyer Moore,10000000,2,6,624097,0,30
Weak Memorizing Boyer Moore,10000000,2,7,624097,0,27
Weak Memorizing Boyer Moore,10000000,2,8,624097,0,28
Weak Memorizing Boyer Moore,10000000,2,9,624097,0,29
Weak Turbo Boyer Moore,10000000,2,0,624097,0,30
Weak Turbo Boyer Moore,10000000,2,1,624097,0,30
Weak Turbo Boyer Moore,10000000,2,2,624097,0,32
Weak Turbo Boyer Moore,10000000,2,3,624097,0,32
Weak Turbo Boyer Moore,10000000,2,4,624097,0,31
Weak Turbo Boyer Moore,10000000,2,5,624097,0,33
Weak Turbo Boyer Moore,10000000,2,6,624097,0,35
Weak Turbo Boyer Moore,10000000,2,7,624097,0,32
Weak Turbo Boyer Moore,10000000,2,8,624097,0,31
Weak Turbo Boyer Moore,10000000,2,9,624097,0,30
Naive,10000000,2,0,624097,0,39
Naive,10000000,2,1,624097,0,42
Naive,10000000,2,2,624097,0,40
Naive,10000000,2,3,624097,0,42
Naive,10000000,2,4,624097,0,43
Naive,10000000,2,5,624097,0,43
Naive,10000000,2,6,624097,0,39
Naive,10000000,2,7,624097,0,36
