algorithm,pattern_length,inspections
Weak Boyer Moore,2,2055731
Weak Memorizing Boyer Moore,2,1698481
Weak Turbo Boyer Moore,2,1698481
Weak Boyer Moore,2,2052460
Weak Memorizing Boyer Moore,2,1695326
Weak Turbo Boyer Moore,2,1695326
Weak Boyer Moore,2,2052048
Weak Memorizing Boyer Moore,2,1694633
Weak Turbo Boyer Moore,2,1694633
Weak Boyer Moore,3,1379843
Weak Memorizing Boyer Moore,3,1196163
Weak Turbo Boyer Moore,3,1196163
Weak Boyer Moore,3,1380195
Weak Memorizing Boyer Moore,3,1196275
Weak Turbo Boyer Moore,3,1196275
Weak Boyer Moore,3,1381504
Weak Memorizing Boyer Moore,3,1196517
Weak Turbo Boyer Moore,3,1196517
Weak Boyer Moore,3,1375848
Weak Memorizing Boyer Moore,3,1192645
Weak Turbo Boyer Moore,3,1192645
Weak Boyer Moore,4,2172250
Weak Memorizing Boyer Moore,4,2110776
Weak Turbo Boyer Moore,4,2027355
Weak Boyer Moore,4,968340
Weak Memorizing Boyer Moore,4,898817
Weak Turbo Boyer Moore,4,898817
Weak Boyer Moore,4,966118
Weak Memorizing Boyer Moore,4,896896
Weak Turbo Boyer Moore,4,896896
Weak Boyer Moore,4,2167763
Weak Memorizing Boyer Moore,4,2106337
Weak Turbo Boyer Moore,4,2023441
Weak Boyer Moore,4,968115
Weak Memorizing Boyer Moore,4,897888
Weak Turbo Boyer Moore,4,897888
Weak Boyer Moore,4,2170145
Weak Memorizing Boyer Moore,4,2108931
Weak Turbo Boyer Moore,4,2026332
Weak Boyer Moore,4,2167229
Weak Memorizing Boyer Moore,4,2106423
Weak Turbo Boyer Moore,4,2022389
Weak Boyer Moore,4,2169345
Weak Memorizing Boyer Moore,4,2107775
Weak Turbo Boyer Moore,4,2023561
Weak Boyer Moore,4,965550
Weak Memorizing Boyer Moore,4,895779
Weak Turbo Boyer Moore,4,895779
Weak Boyer Moore,4,2172970
Weak Memorizing Boyer Moore,4,2111732
Weak Turbo Boyer Moore,4,2027777
Weak Boyer Moore,4,2171289
Weak Memorizing Boyer Moore,4,2109585
Weak Turbo Boyer Moore,4,2025760
Weak Boyer Moore,4,2170995
Weak Memorizing Boyer Moore,4,2109697
Weak Turbo Boyer Moore,4,2025570
Weak Boyer Moore,4,2169621
Weak Memorizing Boyer Moore,4,2108111
Weak Turbo Boyer Moore,4,2024261
Weak Boyer Moore,5,734945
Weak Memorizing Boyer Moore,5,711570
Weak Turbo Boyer Moore,5,711570
Weak Boyer Moore,5,1963100
Weak Memorizing Boyer Moore,5,1948785
Weak Turbo Boyer Moore,5,1935037
Weak Boyer Moore,5,1962298
Weak Memorizing Boyer Moore,5,1948089
Weak Turbo Boyer Moore,5,1934619
Weak Boyer Moore,5,1962288
Weak Memorizing Boyer Moore,5,1947901
Weak Turbo Boyer Moore,5,1934592
Weak Boyer Moore,5,736633
Weak Memorizing Boyer Moore,5,712989
Weak Turbo Boyer Moore,5,712989
Weak Boyer Moore,5,1964857
Weak Memorizing Boyer Moore,5,1950564
Weak Turbo Boyer Moore,5,1936842
Weak Boyer Moore,5,734407
Weak Memorizing Boyer Moore,5,710921
Weak Turbo Boyer Moore,5,710921
Weak Boyer Moore,5,1964120
Weak Memorizing Boyer Moore,5,1949863
Weak Turbo Boyer Moore,5,1936140
Weak Boyer Moore,5,1963255
Weak Memorizing Boyer Moore,5,1949124
Weak Turbo Boyer Moore,5,1935590
Weak Boyer Moore,5,1966444
Weak Memorizing Boyer Moore,5,1951970
Weak Turbo Boyer Moore,5,1937998
Weak Boyer Moore,5,735527
Weak Memorizing Boyer Moore,5,712451
Weak Turbo Boyer Moore,5,712451
Weak Boyer Moore,5,1961478
Weak Memorizing Boyer Moore,5,1947223
Weak Turbo Boyer Moore,5,1933581
Weak Boyer Moore,5,1964852
Weak Memorizing Boyer Moore,5,1950414
Weak Turbo Boyer Moore,5,1936434
Weak Boyer Moore,5,1962308
Weak Memorizing Boyer Moore,5,1948218
Weak Turbo Boyer Moore,5,1934496
Weak Boyer Moore,5,1966170
Weak Memorizing Boyer Moore,5,1951616
Weak Turbo Boyer Moore,5,1938320
Weak Boyer Moore,6,1636474
Weak Memorizing Boyer Moore,6,1631278
